,Crime_ID,Theft_Type
1117,1694,Theft from Vehicle
1118,1696,Theft from Vehicle
1119,1697,Theft from Vehicle
1120,1698,Theft from Vehicle
1121,1699,Theft from Vehicle
1122,1700,Theft of Vehicle
1123,1701,Theft from Vehicle
1124,1704,Theft of Bicycle
1125,1705,Theft of Bicycle
1126,1706,Theft of Vehicle
1127,1708,Theft of Vehicle
1129,1714,Theft of Vehicle
1130,1715,Theft of Vehicle
1131,1716,Theft of Vehicle
1133,1723,Theft of Vehicle
1134,1724,Theft from Vehicle
1135,1726,Theft of Vehicle
1137,1730,Theft from Vehicle
1138,1731,Theft of Vehicle
1139,1732,Theft from Vehicle
1142,1738,Theft from Vehicle
1143,1739,Theft of Vehicle
1144,1741,Theft from Vehicle
1145,1742,Theft from Vehicle
1150,1750,Theft of Bicycle
1151,1751,Theft of Bicycle
1152,1752,Theft from Vehicle
1154,1757,Other Theft
1159,1763,Theft from Vehicle
1160,1766,Theft from Vehicle
1161,1772,Theft from Vehicle
1164,1780,Theft of Vehicle
1167,1785,Theft of Vehicle
1168,1786,Theft from Vehicle
1169,1792,Theft from Vehicle
1170,1797,Theft of Bicycle
1171,1798,Theft of Vehicle
1173,1801,Theft of Vehicle
1174,1803,Theft from Vehicle
1175,1804,Theft from Vehicle
1177,1814,Theft from Vehicle
1179,1822,Theft of Vehicle
1180,1824,Theft of Vehicle
1183,1831,Theft of Vehicle
1184,1832,Theft from Vehicle
1185,1833,Theft of Vehicle
1189,1844,Theft from Vehicle
1190,1846,Theft of Vehicle
1191,1847,Theft of Vehicle
1192,1852,Theft from Vehicle
1194,1859,Theft from Vehicle
1195,1860,Theft from Vehicle
1196,1862,Theft from Vehicle
1197,1863,Theft from Vehicle
1198,1864,Theft from Vehicle
1199,1866,Theft from Vehicle
1200,1868,Theft from Vehicle
1205,1874,Theft of Vehicle
1206,1876,Theft of Vehicle
1207,1877,Theft of Vehicle
1209,1879,Theft from Vehicle
1212,1883,Theft of Vehicle
1213,1885,Theft from Vehicle
1214,1886,Theft of Vehicle
1216,1891,Theft from Vehicle
1218,1898,Theft from Vehicle
1219,1899,Theft from Vehicle
1220,1900,Theft from Vehicle
1221,1902,Theft from Vehicle
1222,1903,Theft from Vehicle
1223,1904,Theft from Vehicle
1224,1905,Theft from Vehicle
1225,1906,Theft of Vehicle
1226,1907,Theft of Vehicle
1227,1911,Theft from Vehicle
1230,1914,Theft of Vehicle
1231,1915,Theft of Vehicle
1232,1916,Theft of Bicycle
1233,1917,Theft of Vehicle
1235,1921,Theft from Vehicle
1236,1922,Theft from Vehicle
1237,1925,Theft from Vehicle
1241,1932,Theft of Vehicle
1242,1937,Theft of Vehicle
1243,1938,Theft of Vehicle
1244,1939,Theft from Vehicle
1246,1945,Theft of Vehicle
1247,1946,Theft from Vehicle
1251,1956,Theft from Vehicle
1252,1961,Theft from Vehicle
1255,1964,Theft from Vehicle
1256,1965,Theft from Vehicle
1257,1966,Theft from Vehicle
1258,1967,Theft from Vehicle
1260,1969,Theft of Vehicle
1263,1974,Theft from Vehicle
1265,1978,Theft of Vehicle
1266,1979,Theft of Vehicle
1267,1980,Theft of Vehicle
1268,1981,Theft of Vehicle
1269,1983,Theft of Vehicle
1270,1984,Theft of Vehicle
1271,1986,Theft from Vehicle
1274,1992,Theft from Vehicle
